第1条评论:   “满纸荒唐中窥见满脸沧桑 / 触到神经就要懂得鼓掌
第170条评论:   许嵩的粉丝是歌手中铁杆粉丝比例最高的吧

第171条评论:   多是从学生时期到工作几年都不会脱粉的

第172条评论:   这首歌去年就是

第173条评论:   评论，全是嵩哥歌迷评论的。只是这段时间某音很多人翻唱，觉得歌词旋律都不错，路人惊叹于评论数量，纷纷跑来围观，所以近期

第174条评论:   仅仅是近期

第175条评论:   这首歌火的时候抖音还没出生呢

第176条评论:   的路人评论多。

第177条评论:   真的好听

第178条评论:   雅俗共赏

第179条评论:   天哪第一次看到评论

第180条评论:   多多大笑

第181条评论:   王星麟

第182条评论:   你太狠了

第183条评论:   爱丫丫小凰

第184条评论:   期待许嵩

第185条评论:   的新歌呀

第186条评论:   “评论”说   大家别给我弟弟妹妹了 我家里待不开了

第187条评论:   随意吧

第188条评论:   祥运常伴吾身

第189条评论:   之前才

第190条评论:   多万，一下就两百多万了，时光飞逝呀

第191条评论:   半年前就

第192条评论:   了吧。。

第193条评论:   你会和风一起来

第194条评论:   上次听还在读书，现在娃都有了

第195条评论:   这首歌在许嵩出道十周年的那年

第196条评论:   生日那天就达到

第197条评论:   评论，那些说这首歌最近突然这么多评论的人可能活在梦里，毕竟

第198条评论:   年前就那么多评论了。。。

第199条评论:   楼兰剑客

第200条评论:   什么时候

第201条评论:   啊，这首歌出来首天就破

第202条评论:   了，三天就破

第203条评论:   废废同志

第204条评论:   这是我目前在网易云看见评论最多的

第205条评论:   多多调皮

第206条评论:   朴小西啊

第207条评论:   没事，现在听也不晚哦

第208条评论:   坦荡入坑

第209条评论:   网易云评论最多的一首歌

第210条评论:   之前是周杰伦的晴天

第211条评论:   头回看见评论

第212条评论:   万加的

第213条评论:   评论了。可我并不希望许嵩火。

第214条评论:   貌似重名

第215条评论:   小鹏鹏

第216条评论:   你就是第一

第217条评论:   丶阳光呦

第218条评论:   十年许嵩，雅俗共赏。

第219条评论:   级的超强台风

第220条评论:   评论区好挤

第221条评论:   蒙德布耀布耀德

第222条评论:    你的城府有多深，我爱的一点都不蠢

第223条评论:   屋檐下你

第224条评论:   吓到我了嵩哥就是厉害，

第225条评论:   我第一次看时也吓到了

第226条评论:   无愚灬

第227条评论:   嵩哥冲鸭

第228条评论:   血融于水后看不见红色

第229条评论:   需要靓女的疼爱

第230条评论:   哦豁，懂了懂了

第231条评论:   不因该是英雄所见略同么

第232条评论:   大哭他俩是好盆友呢

第233条评论:   周郑小杉

第234条评论:   即便是一个人 也要看遍人间风景

第235条评论:   等到烟火清凉

第236条评论:   ”不趋炎附势，不随波逐流，不阿谀奉承，不刻意讨好，不想只写雅俗共赏的情歌，不追求歌声走遍大街小巷，不有意设下谜题，不执着于打榜，十年之后，他还是我们认识的那个许嵩”

第237条评论:   复制上面热评司马

第238条评论:   来我动态看雅俗变调高音现场版

第239条评论:   音乐纯粹

第240条评论:   为什么

第241条评论:   从不知是谁

第242条评论:   醉倚清风入梦

第243条评论:   现在都在水评论？

第244条评论:   他们惊讶评论多想发一句谁也没办法啊

第245条评论:   青龙会明月心

第246条评论:   许嵩是李荣浩的前辈，谁的歌像谁呢

第247条评论:   抖音改得都太造作了

第248条评论:   这是啥情况呀，怎么又上热搜了。

第249条评论:   十二少

第250条评论:   张国荣

第251条评论:   曦光照森

第252条评论:   万 嵩哥牛逼

第253条评论:   润玉天帝亲封天后

第254条评论:   评论数量惊人

第255条评论:   再来一次

第256条评论:   他们说这个世界没有大俗大雅，其实不对，有钱真的很雅

第257条评论:   至少我觉得

第258条评论:   暴发户也很雅吗，还有附庸风雅

第259条评论:   我爱吃榴莲

第260条评论:   这是网易云评论数最多的一首歌，不接受反驳

第261条评论:   反驳不了啊

第262条评论:   超喜欢

第263条评论:   一定要考

第264条评论:   距离过年还有

第265条评论:   还有一个是谁

第266条评论:   不记得了，是外文

第267条评论:   自由如风

第268条评论:   可能是我听过评论最多的歌了

第269条评论:   现在怎么到处都是雅俗共赏，

第270条评论:   还都不是原唱

第271条评论:   霸波贰奔

第272条评论:   张岩峰啊

第273条评论:   好听，

第274条评论:   携手嵩依

第275条评论:   一想到还有二十天才有新歌听我就想哭

第276条评论:   一样期待得等不了

第277条评论:   醉倚清风入梦

第278条评论:   我的信仰是许嵩呀

第279条评论:   不。你没理解我说的。我的意思是这不是水评论，因为你没有去看过花

第280条评论:   评论区的评论，全是两军骂战，那才是水评论，这首歌是嵩哥对待音乐以及人生的态度，歌迷都来表态而已，水评论的多是路人。

第281条评论:   所以 路人多

第282条评论:   肉肉肉肉肉肉肉肉肉肉的

第283条评论:   哦啦啦

第284条评论:   下次再见就是

第285条评论:   只与同好赏风雅

第286条评论:   每天都几千条评论

第287条评论:   落落落

第288条评论:   又来打卡了

第289条评论:   期待嵩哥的十月新歌

第290条评论:   ，每年出的新歌，从来没失望过

第291条评论:   我爱吃榴莲

第292条评论:   这是网易云评论数最多的一首歌，不接受反驳

第293条评论:   不要错过了月亮

第294条评论:   距离过年还有

第295条评论:   还有一个是谁

第296条评论:   周杰伦的晴天 不过已经下架了

第297条评论:   网易云评论最多的一首歌

第298条评论:   冬烘孑遗

第299条评论:   当年听的时候好像还是小学

第300条评论:   那你现在也是初中吧

第301条评论:   我喜欢你

第302条评论:   杂货铺解不了忧

第303条评论:   对，嵩哥每首歌都免费，而且超好听。

第304条评论:   除了飞驰于你

第305条评论:   染苒呐

第306条评论:   请问，能否陪我一起雅俗共赏？

第307条评论:   我也曾怀念

第308条评论:   东侧尅儿

第309条评论:   这是我听的第一首评论过百万的歌

第310条评论:   多多大笑

第311条评论:   多萬的評論太誇張了。

第312条评论:   上得厅堂，下得厨房还可以翻院墙

第313条评论:   苏番茄先生

第314条评论:   养大我们就要开多几次演唱会呀

第315条评论:   枫桥夜泊儿

第316条评论:   哪个粉丝刷这么多评论？土豪。

第317条评论:   都怪许嵩这个男人太有魅力

第318条评论:   我的大哥阿

第319条评论:   恕我直言，这是我一次遇到

第320条评论:    真的好多

第321条评论:   小明小眀

第322条评论:   听这歌总是能想到那个已经没联系了的老同学，也不知道她过的怎样了，

第323条评论:   只为未来的甜

第324条评论:   居然。。。。。。免费下载

第325条评论:   视界之外的世界

第326条评论:   嵩哥，今年是我喜欢你的第十一年了呢

第327条评论:   多多调皮

第328条评论:   我才八年

第329条评论:   愿你无约而至

第330条评论:   上得厅堂下得厨房，就像我一直在找的先生

第331条评论:   八年嵩鼠在这里，今生无悔听嵩歌

第332条评论:   这歌估计是我列表里的歌最多评论的一首

第333条评论:   整个网易云最多的

第334条评论:   不多言

第335条评论:   年了吧 全是听着你的歌长大

第336条评论:   紫檀玉凊

第337条评论:   啊？许嵩曾经是学医的啊？

第338条评论:   许嵩是安医大的

第339条评论:   一定要考

第340条评论:   这应该是我见到过的第二个一百万

第341条评论:   一百万？？？？

第342条评论:   寡人的桃子

第343条评论:   这歌两百多万评论 牛啤

第344条评论:   椎名千颜

第345条评论:   太喜欢了

第346条评论:   副歌接受不来

第347条评论:   送橙子小姐

第348条评论:   思婷在努力

第349条评论:   不存在发现不发现把？

第350条评论:   评论看不到的那叫瞎

第351条评论:   我指的是某音上火起来，又会有很多人改编加音乐 ，一顿乱搞。这样子的话，真的会使这首歌烂大街

第352条评论:   南巷烈阳

第353条评论:   先生不穿秋裤

第354条评论:   玩那么久网易第一次见百万评论

第355条评论:   桃子熊猫秦琳琳

第356条评论:   他喜欢的歌

第357条评论:   忆哥很酷

第358条评论:   多多可怜

第359条评论:   栋栋旭

第360条评论:   许嵩我想告诉你我的发小最喜欢你了但他已经轻生了你是他的整个时代

第361条评论:   刚跟老公吵架，远嫁可能真的不值

第362条评论:   电音王子丶沐白

第363条评论:   第一次看到

第364条评论:   的评论

第365条评论:   还有一个是周杰伦的。不过下架了

第366条评论:   不忘初

第367条评论:   睡了一天 明天又要投入忙碌的工作中了 加油吧 陌生人

第368条评论:   薄荷心念

第369条评论:   百万评论

第370条评论:   枫桥夜泊儿

第371条评论:   哪个粉丝刷这么多评论？土豪。

第372条评论:   奶味甜饼

第373条评论:   知乎告诉我这是网易云评论最多的一首歌

第374条评论:   段子木研

第375条评论:   不知姑娘可有男友，小生现在单身。

第376条评论:   起名一次不成

第377条评论:   百万评论，

第378条评论:   傻网猫

第379条评论:   雅俗共赏

第380条评论:   等到烟火清凉

第381条评论:   你所谓的春与秋

第382条评论:   呜呜呜私聊我叭

第383条评论:   为什么不回我

第384条评论:   你是人间最终绝色

第385条评论:   年的歌怎么突然就火了，看了

第386条评论:   站的音乐视频以后就懂了，嗯还是原唱好听

第387条评论:   嵩下流年，不知几何

第388条评论:   高中上自习偷着用

第389条评论:   听着许嵩的歌，转眼间前几天已经签完合同，身背

第390条评论:   房贷的人了

第391条评论:   不穿衬衫

第392条评论:   零几年的那时候  

第393条评论:   里都是嵩哥  转眼间听歌的人长大了  也慢慢能听懂了  害

第394条评论:   殺手滿

第395条评论:   日一面后，下个月见

第396条评论:   百万加了

第397条评论:   听了抖音的翻唱，现在回来洗洗耳

第398条评论:   年小北

第399条评论:   大概现在听嵩歌的人都上大学了吧

第400条评论:   研一了

第401条评论:   第一次看到评论

第402条评论:   万加的歌，惊呆了。

第403条评论:   机中字

第404条评论:   弦上音

第405条评论:   纤纤红用漫传心

第406条评论:   西西心动

第407条评论:   多多调皮

第408条评论:   为嵩哥打电话

第409条评论:   我愿意

第410条评论:   干嘛还不睡觉

第411条评论:   翻一百页一百页都在说评论好多，差你一句吗？大家不瞎。恐同

第412条评论:   飞天小粉猪猪猪

第413条评论:   年。我还爱你。

第414条评论:   九哥哥很优秀

第415条评论:   我想你

第416条评论:   冬烘孑遗

第417条评论:   当年听的时候好像还是小学

第418条评论:   看见我评论请叫我滚去学习

第419条评论:   评论多了之后看到的评论都是惊叹于评论多，好无聊。重点不是歌本身吗

第420条评论:   第一次看到

第421条评论:   的评论

第422条评论:   闲鱼不够闲

第423条评论:   许嵩多大啦

第424条评论:   看清楚 

第425条评论:   两百多万了

第426条评论:   说过的话是赠品

第427条评论:   我第一见评论这么多的歌，给许嵩点赞

第428条评论:   咩咩酷

第429条评论:   许嵩 多年依旧

第430条评论:   冲冲冲

第431条评论:   尘世美

第432条评论:   抱紧可爱

第433条评论:   浅丿色调

第434条评论:   别瞎找存在感，懒得和你讲大道理

第435条评论:   我哪敢呀，谁有你有存在感，还大道理

第436条评论:   初中开始听许嵩，也听了

第437条评论:   年了，他还是他

第438条评论:   逆风如解意

第439条评论:   东邪羁

第440条评论:   李霖森

第441条评论:   有点好听哦

第442条评论:   妈呀 

